,USEcoUncertaintyxTrend
2021-09-30,-51.55415578597031
2021-10-31,-48.65368804403482
2021-11-30,-12.354936251920122
2021-12-31,-1.9179792626728158
2022-01-31,12.490622887864845
2022-02-28,-2.9891687788018686
2022-03-31,54.8096561059908
2022-04-30,3.3560566436251804
2022-05-31,0.4596480414746793
2022-06-30,-1.5448501664106686
2022-07-31,10.48093477982593
2022-08-31,-16.84140392985151
2022-09-30,-25.559157514080894
2022-10-31,2.1997080773169557
2022-11-30,8.982541410650327
2022-12-31,-5.837367191500249
2023-01-31,45.05986399129546
2023-02-28,-20.151290002560174
2023-03-31,3.020449628776248
2023-04-30,1.2931763312851956
2023-05-31,48.26823547107011
2023-06-30,-18.877498399897576
2023-07-31,-35.84028334613417
2023-08-31,-38.07850915258575
2023-09-30,-44.7746417690732
2023-10-31,6.082691564260131
2023-11-30,-16.733558435739866
2023-12-31,-2.873488543266774
2024-01-31,15.808258768561174
2024-02-29,5.113609257199329
2024-03-31,-13.238148251143272
2024-04-30,-4.528656315659376
2024-05-31,-24.956516530713145
2024-06-30,-26.57591796440491
2024-07-31,27.36143149796071
2024-08-31,-12.704939469781223
2024-09-30,-17.359957390928187
2024-10-31,0.9055318563836465
2024-11-30,106.4855031825485
2024-12-31,53.97018597824746
2025-01-31,112.32464834383885
2025-02-28,172.1168925371224
2025-03-31,314.78251465693813
2025-04-30,335.1328345494111
2025-05-31,266.94690981822833
2025-06-30,141.6911783718864
